Ign;Bothrops;Crotalus;Micrurus;Lachesis;Nao _pec;Total;veg
64;0;0;0;0;0;64;Floresta Estacional Semidecidual
20;18;5;0;0;0;43;Floresta Ombrofila Densa
499;25;0;0;0;0;524;Floresta Ombrofila Mista
2417;13;2;0;0;2;2434;Floresta Ombrofila Mista
64;2;3;0;0;3;72;Floresta Estacional Semidecidual
74;0;2;0;0;1;77;Floresta Estacional Semidecidual
36;0;0;0;0;2;38;Floresta Estacional Semidecidual
11;0;2;0;0;1;14;Floresta Estacional Semidecidual
88;8;6;0;0;7;109;Floresta Estacional Semidecidual
245;0;2;0;0;2;249;Floresta Estacional Semidecidual
39;0;5;0;0;1;45;Floresta Estacional Semidecidual
343;7;0;0;0;4;354;Floresta Ombrofila Mista
100;0;1;0;0;0;101;Floresta Ombrofila Mista
205;2;2;0;0;1;210;Floresta Estacional Semidecidual
49;1;0;0;0;0;50;Floresta Estacional Semidecidual
344;109;0;0;0;3;456;Floresta Ombrofila Mista
664;10;0;0;0;1;675;Floresta Ombrofila Mista
2552;75;28;0;0;24;2679;Floresta Estacional Semidecidual
386;28;9;1;0;11;435;Floresta Estacional Semidecidual
526;21;8;0;0;4;559;Floresta Ombrofila Mista
22;0;0;0;0;0;22;Floresta Ombrofila Mista
74;3;1;0;0;4;82;Floresta Ombrofila Mista
1369;53;0;0;0;3;1425;Floresta Ombrofila Mista
25;2;0;0;0;1;28;Floresta Ombrofila Mista
58;1;1;0;0;3;63;Floresta Estacional Semidecidual
171;4;2;0;0;1;178;Floresta Estacional Semidecidual
212;0;3;1;0;2;218;Floresta Estacional Semidecidual
9;1;0;0;0;0;10;Floresta Estacional Semidecidual
231;14;1;0;0;0;246;Floresta Ombrofila Mista
836;14;0;0;0;4;854;Floresta Estacional Semidecidual
89;4;9;0;0;4;106;Floresta Estacional Semidecidual
152;0;0;0;0;2;154;Floresta Estacional Semidecidual
96;12;0;0;0;0;108;Floresta Ombrofila Mista
102;0;0;0;0;1;103;Floresta Estacional Semidecidual
94;2;1;0;0;4;101;Floresta Estacional Semidecidual
880;106;0;0;0;2;988;Floresta Ombrofila Mista
55;1;0;0;0;1;57;Floresta Ombrofila Mista
60;1;0;0;0;1;62;Floresta Estacional Semidecidual
248;1;0;0;0;1;250;Floresta Ombrofila Mista
